mirna,target_gene,target_ensemble_id,mirna_key,mirna_ensamble_id
rno-miR-322-5p,Calu,ENSRNOG00000006197,322,ENSRNOG00000064087
rno-miR-214-3p,Arl2,ENSRNOG00000021010,214,ENSRNOG00000035513
rno-miR-195-5p,Arl2,ENSRNOG00000021010,195,ENSRNOG00000035638
rno-miR-146a-5p,Klf4,ENSRNOG00000016299,146a,ENSRNOG00000035466
rno-miR-145-5p,Myocd,ENSRNOG00000003669,145,ENSRNOG00000035474
rno-miR-144-3p,Celf2,ENSRNOG00000023661,144,ENSRNOG00000035647
rno-miR-141-3p,Elavl4,ENSRNOG00000023601,141,ENSRNOG00000035577
rno-miR-132-3p,Grin2a,ENSRNOG00000033942,132,ENSRNOG00000035516
rno-miR-21-5p,Elavl4,ENSRNOG00000023601,21,ENSRNOG00000035480
rno-miR-16-5p,Arl2,ENSRNOG00000021010,16,ENSRNOG00000035504
rno-miR-15b-5p,Arl2,ENSRNOG00000021010,15b,ENSRNOG00000035483
rno-miR-143-3p,Mapk7,ENSRNOG00000047907,143,ENSRNOG00000035603
rno-miR-26b-5p,Pten,ENSRNOG00000020723,26b,ENSRNOG00000035608
rno-miR-101a-3p,Tyr,ENSRNOG00000016421,101a,ENSRNOG00000035599
rno-miR-101a-3p,Sox9,ENSRNOG00000002607,101a,ENSRNOG00000035599
rno-miR-182,Cebpa,ENSRNOG00000010918,182,ENSRNOG00000068116
rno-miR-141-3p,Zeb2,ENSRNOG00000004677,141,ENSRNOG00000035577
rno-miR-429,Zeb1,ENSRNOG00000017863,429,ENSRNOG00000035595
rno-miR-429,Zeb2,ENSRNOG00000004677,429,ENSRNOG00000035595
rno-miR-212-3p,Cyp2e1,ENSRNOG00000012458,212,ENSRNOG00000035476
rno-miR-132-3p,Cyp2e1,ENSRNOG00000012458,132,ENSRNOG00000035516
rno-miR-212-3p,Pten,ENSRNOG00000020723,212,ENSRNOG00000035476
rno-miR-132-3p,Foxo3,ENSRNOG00000000299,132,ENSRNOG00000035516
rno-miR-212-3p,Foxo3,ENSRNOG00000000299,212,ENSRNOG00000035476
rno-miR-181c-5p,COX1,ENSRNOG00000034234,181c,ENSRNOG00000035569
rno-miR-150-5p,Gpnmb,ENSRNOG00000008816,150,ENSRNOG00000035560
rno-miR-140-5p,Sirt1,ENSRNOG00000051592,140,ENSRNOG00000035609
rno-miR-107-3p,Pdcd10,ENSRNOG00000010147,107,ENSRNOG00000035639
rno-miR-26b-5p,Trpc3,ENSRNOG00000016070,26b,ENSRNOG00000035608
rno-miR-107-3p,Arnt,ENSRNOG00000031174,107,ENSRNOG00000035639
rno-miR-363-3p,E2f3,ENSRNOG00000029273,363,ENSRNOG00000036273
rno-miR-17-5p,Txnip,ENSRNOG00000021201,17,ENSRNOG00000035657
rno-miR-216a-5p,Pten,ENSRNOG00000020723,216a,ENSRNOG00000035514
rno-miR-98-5p,Bcl2l1,ENSRNOG00000007946,98,ENSRNOG00000035656
rno-miR-101a-3p,Ranbp9,ENSRNOG00000017951,101a,ENSRNOG00000035599
rno-miR-375-3p,Rasd1,ENSRNOG00000003348,375,ENSRNOG00000035455
rno-miR-30b-5p,Bmp7,ENSRNOG00000053384,30b,ENSRNOG00000053467
rno-miR-26a-5p,Pten,ENSRNOG00000020723,26a,ENSRNOG00000035582
rno-miR-146a-5p,Nfkb1,ENSRNOG00000023258,146a,ENSRNOG00000035466
rno-miR-27b-3p,Sp1,ENSRNOG00000014084,27b,ENSRNOG00000035576
